Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,0,25.0,0,1,0,1,0,0,0,1
8,2,28.16,0,1,0,1,0,0,0,1
8,4,31.0,0,1,0,1,0,0,0,1
8,6,33.58,0,1,0,1,0,0,0,1
8,8,35.9,0,1,0,1,0,0,0,1
8,10,38.05,0,1,0,1,0,0,0,1
8,12,39.85,0,1,0,1,0,0,0,1
8,14,41.05,0,1,0,1,0,0,0,1
8,16,42.09,0,1,0,1,0,0,0,1
8,18,42.69,0,1,0,1,0,0,0,1
8,20,42.95,0,1,0,1,0,0,0,1
8,22,43.29,0,1,0,1,0,0,0,1
8,24,43.55,0,1,0,1,0,0,0,1
8,26,43.89,0,1,0,1,0,0,0,1
8,28,43.98,0,1,0,1,0,0,0,1
8,30,44.23,0,1,0,1,0,0,0,1
8,32,44.49,0,1,0,1,0,0,0,1
8,34,44.66,0,1,0,1,0,0,0,1
8,36,44.92,0,1,0,1,0,0,0,1
8,38,45.18,0,1,0,1,0,0,0,1
8,40,45.44,0,1,0,1,0,0,0,1
8,42,45.7,0,1,0,1,0,0,0,1
8,44,46.04,0,1,0,1,0,0,0,1
8,46,46.38,0,1,0,1,0,0,0,1
8,48,46.81,0,1,0,1,0,0,0,1
8,50,47.24,0,1,0,1,0,0,0,1
8,52,47.76,0,1,0,1,0,0,0,1
8,54,48.19,0,1,0,1,0,0,0,1
8,56,48.79,0,1,0,1,0,0,0,1
8,58,49.91,0,1,0,1,0,0,0,1
8,60,51.45,0,1,0,1,0,0,0,1
8,62,53.0,0,1,0,1,0,0,0,1
8,64,54.29,0,1,0,1,0,0,0,1
8,66,55.58,0,1,0,1,0,0,0,1
8,68,56.78,0,1,0,1,0,0,0,1
8,70,57.9,0,1,0,1,0,0,0,1
8,72,58.24,0,1,0,1,0,0,0,1
8,74,58.59,0,1,0,1,0,0,0,1
8,76,59.02,0,1,0,1,0,0,0,1
8,78,59.36,0,1,0,1,0,0,0,1
8,80,59.7,0,1,0,1,0,0,0,1
8,82,60.05,0,1,0,1,0,0,0,1
8,84,60.48,0,1,0,1,0,0,0,1
8,86,60.82,0,1,0,1,0,0,0,1
8,88,61.16,0,1,0,1,0,0,0,1
8,90,61.51,0,1,0,1,0,0,0,1
8,0,25.0,0,1,0,1,0,0,1,0
8,2,27.3,0,1,0,1,0,0,1,0
8,4,29.02,0,1,0,1,0,0,1,0
8,6,30.74,0,1,0,1,0,0,1,0
8,8,32.12,0,1,0,1,0,0,1,0
8,10,33.49,0,1,0,1,0,0,1,0
8,12,34.52,0,1,0,1,0,0,1,0
8,14,35.38,0,1,0,1,0,0,1,0
8,16,36.07,0,1,0,1,0,0,1,0
8,18,36.5,0,1,0,1,0,0,1,0
8,20,37.02,0,1,0,1,0,0,1,0
8,22,37.62,0,1,0,1,0,0,1,0
8,24,38.05,0,1,0,1,0,0,1,0
8,26,38.56,0,1,0,1,0,0,1,0
8,28,39.51,0,1,0,1,0,0,1,0
8,30,41.48,0,1,0,1,0,0,1,0
8,32,43.38,0,1,0,1,0,0,1,0
8,34,45.18,0,1,0,1,0,0,1,0
8,36,46.73,0,1,0,1,0,0,1,0
8,38,48.36,0,1,0,1,0,0,1,0
8,40,49.65,0,1,0,1,0,0,1,0
8,42,50.94,0,1,0,1,0,0,1,0
8,44,52.14,0,1,0,1,0,0,1,0
8,46,53.17,0,1,0,1,0,0,1,0
8,48,54.29,0,1,0,1,0,0,1,0
8,50,55.23,0,1,0,1,0,0,1,0
8,52,56.27,0,1,0,1,0,0,1,0
